AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2019-20,40,5.7,5.3,5.2,16,"2,709","52,476",> 100%
National,,All,2019-20,41,5.7,5.4,5.3,16,"2,770","52,882",> 100%
National,,All,2019-20,42,5.8,5.5,5.5,18,"2,982","54,162",> 100%
National,,All,2019-20,43,5.9,5.6,5.6,30,"2,989","53,939",> 100%
National,,All,2019-20,44,6,5.7,5.5,31,"2,914","54,014",> 100%
National,,All,2019-20,45,6.2,5.8,5.6,31,"3,066","55,523",> 100%
National,,All,2019-20,46,6.3,5.9,5.6,39,"3,097","55,744",> 100%
National,,All,2019-20,47,6.4,6,5.4,50,"3,001","56,059",> 100%
National,,All,2019-20,48,6.5,6.2,5.5,66,"2,985","55,293",> 100%
National,,All,2019-20,49,6.6,6.3,6,99,"3,313","57,082",> 100%
National,,All,2019-20,50,6.7,6.4,6.2,111,"3,461","57,401",> 100%
National,,All,2019-20,51,6.8,6.5,6.1,128,"3,358","57,156",> 100%
National,,All,2019-20,52,6.9,6.6,6.4,200,"3,504","58,178",> 100%
National,,All,2019-20,1,7,6.7,7.5,421,"4,046","59,546",> 100%
National,,All,2019-20,2,7.1,6.7,7.6,463,"4,077","59,887",> 100%
National,,All,2019-20,3,7.2,6.8,7.6,452,"3,968","58,373",> 100%
National,,All,2019-20,4,7.2,6.9,7.4,483,"3,809","57,811",> 100%
National,,All,2019-20,5,7.3,6.9,7.3,470,"3,690","57,298",> 100%
National,,All,2019-20,6,7.3,7,7.2,498,"3,680","57,638",> 100%
National,,All,2019-20,7,7.3,7,7.4,519,"3,698","56,943",> 100%
National,,All,2019-20,8,7.3,7,7.2,541,"3,565","56,878",> 100%
National,,All,2019-20,9,7.3,7,7.5,620,"3,656","57,103",> 100%
National,,All,2019-20,10,7.3,7,7.7,592,"3,758","56,652",> 100%
National,,All,2019-20,11,7.3,6.9,7.9,586,"3,722","54,704",> 100%
National,,All,2019-20,12,7.2,6.9,8.6,502,"4,215","54,810",> 100%
National,,All,2019-20,13,7.1,6.8,10.5,415,"5,691","58,120",> 100%
National,,All,2019-20,14,7.1,6.7,14.3,440,"8,950","65,610",> 100%
National,,All,2019-20,15,7,6.7,15.6,438,"10,441","69,880",> 100%
National,,All,2019-20,16,6.9,6.6,14.5,223,"8,898","62,998",> 100%
National,,All,2019-20,17,6.8,6.5,12.3,106,"5,727","47,526",99.90%
National,,All,2019-20,18,6.7,6.4,7.4,20,"1,617","21,983",46.20%
