AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2019-20,40,5,0,48,955,98.3%
State,Alabama,All,2019-20,41,3.8,0,36,940,96.8%
State,Alabama,All,2019-20,42,4.5,0,45,"1,011",> 100%
State,Alabama,All,2019-20,43,4.4,2,42,"1,000",> 100%
State,Alabama,All,2019-20,44,5.7,2,53,962,99%
State,Alabama,All,2019-20,45,4.9,0,52,"1,054",> 100%
State,Alabama,All,2019-20,46,6.1,0,67,"1,099",> 100%
State,Alabama,All,2019-20,47,4.3,3,43,"1,061",> 100%
State,Alabama,All,2019-20,48,7.6,2,78,"1,049",> 100%
State,Alabama,All,2019-20,49,5.3,2,55,"1,072",> 100%
State,Alabama,All,2019-20,50,5.6,4,59,"1,117",> 100%
State,Alabama,All,2019-20,51,5.5,2,59,"1,115",> 100%
State,Alabama,All,2019-20,52,5.6,2,57,"1,059",> 100%
State,Alabama,All,2019-20,1,6.6,5,67,"1,090",> 100%
State,Alabama,All,2019-20,2,8,9,83,"1,143",> 100%
State,Alabama,All,2019-20,3,6.6,7,63,"1,068",> 100%
State,Alabama,All,2019-20,4,6.9,7,67,"1,071",> 100%
State,Alabama,All,2019-20,5,6.7,16,54,"1,047",> 100%
State,Alabama,All,2019-20,6,6.8,11,64,"1,107",> 100%
State,Alabama,All,2019-20,7,7.8,7,78,"1,087",> 100%
State,Alabama,All,2019-20,8,7.2,4,74,"1,084",> 100%
State,Alabama,All,2019-20,9,7.2,14,69,"1,155",> 100%
State,Alabama,All,2019-20,10,6.9,12,61,"1,054",> 100%
State,Alabama,All,2019-20,11,5.8,6,54,"1,041",> 100%
State,Alabama,All,2019-20,12,7.8,7,73,"1,029",> 100%
State,Alabama,All,2019-20,13,7.6,8,68,996,> 100%
State,Alabama,All,2019-20,14,6.4,3,65,"1,061",> 100%
State,Alabama,All,2019-20,15,8,3,73,948,97.6%
State,Alabama,All,2019-20,16,8.3,0,62,743,76.5%
State,Alabama,All,2019-20,17,4.8,0,15,311,32%
State,Alaska,All,2019-20,40,6.4,0,6,94,> 100%
State,Alaska,All,2019-20,41,7.4,0,7,94,> 100%
State,Alaska,All,2019-20,42,3.2,0,3,95,> 100%
State,Alaska,All,2019-20,43,5.7,0,4,70,86.1%
State,Alaska,All,2019-20,44,5.8,0,5,86,> 100%
State,Alaska,All,2019-20,45,7.1,0,7,98,> 100%
State,Alaska,All,2019-20,46,1.1,0,1,91,> 100%
State,Alaska,All,2019-20,47,4.3,0,4,94,> 100%
State,Alaska,All,2019-20,48,4.7,0,5,107,> 100%
State,Alaska,All,2019-20,49,6.9,1,6,102,> 100%
State,Alaska,All,2019-20,50,3.1,0,3,97,> 100%
State,Alaska,All,2019-20,51,3.6,1,2,84,> 100%
State,Alaska,All,2019-20,52,12.3,1,12,106,> 100%
State,Alaska,All,2019-20,1,5.5,1,4,91,> 100%
State,Alaska,All,2019-20,2,3.7,0,4,107,> 100%
State,Alaska,All,2019-20,3,4,0,4,100,> 100%
State,Alaska,All,2019-20,4,2,0,2,100,> 100%
State,Alaska,All,2019-20,5,4.5,1,3,89,> 100%
State,Alaska,All,2019-20,6,4.3,1,3,92,> 100%
State,Alaska,All,2019-20,7,0,0,0,91,> 100%
State,Alaska,All,2019-20,8,4.7,0,4,86,> 100%
State,Alaska,All,2019-20,9,7.2,1,5,83,> 100%
State,Alaska,All,2019-20,10,2.7,0,2,75,92.2%
State,Alaska,All,2019-20,11,8.3,0,7,84,> 100%
State,Alaska,All,2019-20,12,13.8,1,7,58,71.3%
State,Alaska,All,2019-20,13,12.2,1,8,74,91%
State,Alaska,All,2019-20,14,9.3,0,7,75,92.2%
State,Alaska,All,2019-20,15,2.1,0,1,47,57.8%
State,Alaska,All,2019-20,16,5.6,0,2,36,44.3%
State,Alaska,All,2019-20,17,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2019-20,40,4.7,0,52,"1,110",> 100%
State,Arizona,All,2019-20,41,4.6,2,49,"1,114",> 100%
State,Arizona,All,2019-20,42,4.6,2,51,"1,140",> 100%
State,Arizona,All,2019-20,43,5.3,1,53,"1,012",97.7%
State,Arizona,All,2019-20,44,5.6,1,63,"1,133",> 100%
State,Arizona,All,2019-20,45,4.9,0,61,"1,245",> 100%
State,Arizona,All,2019-20,46,6.2,0,73,"1,176",> 100%
State,Arizona,All,2019-20,47,5.4,1,63,"1,191",> 100%
State,Arizona,All,2019-20,48,5.1,2,55,"1,113",> 100%
State,Arizona,All,2019-20,49,5,5,55,"1,192",> 100%
State,Arizona,All,2019-20,50,7.4,3,83,"1,164",> 100%
State,Arizona,All,2019-20,51,5.6,3,62,"1,151",> 100%
State,Arizona,All,2019-20,52,5,0,60,"1,204",> 100%
State,Arizona,All,2019-20,1,6.8,4,82,"1,274",> 100%
State,Arizona,All,2019-20,2,7,8,86,"1,349",> 100%
State,Arizona,All,2019-20,3,5.6,7,63,"1,256",> 100%
State,Arizona,All,2019-20,4,8.2,11,90,"1,234",> 100%
